LB,AC,FM,UC,DL,DS,DP,NSP
120,0,0,0,0,0,0,13
132,0.005676892,0.003956892,0.006289892,0.002256892,0.004956892,0.005676892,23
130,0.006378889,0.004056892,0.006409892,0.002156892,0.004906892,0.006378889,45
160,0.002090892,0.003956892,0.006429892,0.003956892,0.003906892,0.002090892,56
147,0.004896892,0.006456892,0.006456892,0.003956892,0.003956892,0.004896892,53
148,0.004796892,0.008988992,0.006456892,0.006756892,0.003856892,0.004796892,98
189,0.007896892,0.003856892,0.006456892,0.006556892,0.003956892,0.007896892,33
148,0.006778689,0.003956892,0.006456892,0.005695689,0.004056892,0.006778689,43
147,0.003490892,0.004056892,0.006456892,0.006566892,0.003956892,0.003490892,45
145,0.002256892,0.003956892,0.003956892,0.004586892,0.004956892,0.002256892,48
147,0.038456892,0.003409892,0.004056892,0.006429099,0.006409892,0.006420992,27
148,0.002056892,0.002729892,0.003956892,0.0028992,0.006429892,0.006222892,59
149,0.009056892,0.002256892,0.004956892,0.005676892,0.003956892,0.006289892,38
180,0.007086892,0.002156892,0.004906892,0.006378889,0.004056892,0.006409892,39
130,0.003929099,0.003956892,0.003906892,0.002090892,0.003956892,0.006429892,30
129,0.008988992,0.003956892,0.003956892,0.004896892,0.006456892,0.006456892,23
122,0.003856892,0.006756892,0.003856892,0.004796892,0.008988992,0.006456892,45
110,0.003956892,0.006556892,0.003956892,0.007896892,0.003856892,0.006456892,63
148,0.004056892,0.005695689,0.004056892,0.006778689,0.003956892,0.006456892,44
189,0.003956892,0.006566892,0.003956892,0.003490892,0.004056892,0.006456892,43
148,0.004956892,0.004586892,0.004956892,0.002256892,0.003956892,0.003956892,56
147,0.004906892,0.004895689,0.004906892,0.038456892,0.006756892,0.003856892,34
145,0.003906892,0.006489656,0.003906892,0.006456892,0.006556892,0.003956892,32
147,0.003956892,0.026456892,0.003956892,0.006456892,0.005695689,0.004056892,56
148,0.004056892,0.001586892,0.004056892,0.006456892,0.006566892,0.003956892,76
147,0.003956892,0.004566892,0.003956892,0.006456892,0.004586892,0.004956892,58
145,0.006456892,0.006456892,0.006456892,0.006456892,0.004895689,0.004906892,85
